刘得意	19	1001	60	98	75
王锐	20	1002	63	90	96
何煜中	19	1003	90	73	82
王磊	21	1004	87	86	92
冯松	19	1005	89	98	83
裴培	20	1006	75	82	91
马骁	19	1007	62	67	90
马婧	20	1008	98	84	87
周俊升	19	1009	57	68	96
贺祺	21	1010	61	96	72
李桐	19	1011	93	83	86
高路	20	1012	63	74	98
冯佳媛	19	1013	61	79	81
张迪	20	1014	99	88	80
张里响	19	1015	85	65	96
王瑞麒	21	1016	89	83	91
徐金竹	19	1017	75	89	73
赵媛媛	20	1018	77	75	66
宋宗杰	18	1019	94	100	92
张佳玮	19	1020	61	98	96
王姝	20	1021	70	91	90
宋媛媛	21	1022	61	94	92
于莉	22	1023	55	66	78
于浩	20	1024	78	84	72
王竞	19	1025	90	87	67
崔赞	20	1026	91	67	93
宋静	19	1027	69	85	73
王磊	21	1028	71	78	77
方圆	19	1029	70	79	76
李朋	20	1030	90	82	97
马佳	19	1031	60	90	100
张龙	20	1032	62	100	78
马里	19	1033	73	95	73
韩明	21	1034	83	97	88
马立	19	1035	73	90	83
吴清正	20	1036	89	97	85
印虹	19	1037	92	68	75
田苗苗	20	1038	75	91	71
卫青	19	1039	66	73	77
冷云	21	1040	89	88	71
葛志伟	19	1041	100	79	71
范振光	20	1042	98	87	89
王芳	19	1043	71	97	99
杨超	20	1044	67	73	82
杨梦婕	19	1045	89	99	67
梁雅宁	21	1046	55	88	100
王琦	19	1047	98	95	98
吴玮	20	1048	69	76	68
杨阔	19	1049	90	91	98
贾伟林	20	1050	63	90	86
刘亚新	19	1051	77	81	95
金昕	21	1052	92	67	69
董一伟	19	1053	93	88	80
汤娜	20	1054	68	85	71
周恒	19	1055	87	82	69
张笑	20	1056	86	88	76
文静	19	1057	93	88	85
杨华鑫	21	1058	81	81	68
苏明霞	19	1059	59	79	94
黄京	20	1060	62	75	96
佟欣	19	1061	60	79	98
张雯	20	1062	69	70	93
刘京西	19	1063	67	78	78
徐嘉琦	21	1064	90	75	87
魏佳	19	1065	100	94	80
高举	20	1066	81	99	91
边里	19	1067	56	94	87
何佳成	20	1068	70	75	78
赵旭洋	19	1069	87	91	94
孙大伟	21	1070	65	69	98
鲁继森	19	1071	84	79	75
白涛	20	1072	57	82	75
蔺剑飞	19	1073	88	75	79
兰天	20	1074	83	66	74
王悦	19	1075	79	82	70
陈世勃	21	1076	70	92	65
张昊	19	1077	94	83	96
高清	20	1078	76	83	84
王欣欣	19	1079	71	83	78
王欢欢	20	1080	57	33	66
叶丹	19	1081	87	80	96
李悦	21	1082	63	79	97
郭倩	19	1083	69	94	69
刘盈	20	1084	99	72	93
杨洁	19	1085	96	79	87
徐一菡	20	1086	85	45	62
王蒙	19	1087	67	97	89
张敏	21	1088	85	75	89
桂佳	19	1089	60	73	65
林倩	20	1090	67	77	80
任盛达	19	1091	57	86	88
吴佳林	20	1092	96	65	82
黄金龙	19	1093	85	90	78
陈美珠	21	1094	82	72	83
冼丹	19	1095	100	89	89
唐楠	20	1096	68	97	77
张扬	19	1097	77	65	93
宋航彬	20	1098	80	71	91
薛淇文	19	1099	89	71	75
刘紫亮	21	1100	72	98	84
